workerid,trial_type,justification,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,I says he bought both,NA,NA,NA,NA,1,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider_practice,The third dog did not jump,NA,NA,NA,NA,0,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,two thought it was too big,four,frog,6,without,1,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,there were only 2 hippos,four,control1,7,with,0,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,Only one went to the city,two,butterflies,8,with,1,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,the second one was too afraid,four,control2,9,without,1,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,it explicitly states this,four,lions,10,with,1,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,two thought it was too high,four,control3,11,with,0,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
0,one_slider,one ate bugs because they are easy to catch,two,dinosaurs,12,without,0,english,2,Male,25,n/a,Yes,english,2,Windows,768,1366,Chrome,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3PXX5PX6LYULU4ZZ3XWOJKXWOOVBAL,0,Approved,Tue Jul 10 06:29:45 PDT 2018,Mon Jul 09 13:44:51 PDT 2018,Mon Jul 09 13:49:45 PDT 2018,Tue Jul 10 06:29:46 PDT 2018,,,,,[],"""twowithout""",undefined,4.545883333333333
1,one_slider_practice,The smurf purchased two cars and stopped once he had no more money,NA,NA,NA,NA,0.95,English ,1,Female,31,,Yes,How we viewed sentence structure,2,iPhone/iPod,667,375,Safari,379OL9DBSS90F9KCUHR66HOP7OQ9YH,34Z8PDG355E3Y8ARLI7C8DKXS7LE59,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.80,Mon Jul 09 13:44:46 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Wed Aug 08 13:44:46 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=379OL9DBSS90F9KCUHR66HOP7OQ9YH,3P1L2B7AD2LM9HFC4TQ0YID6PZDOLK,1,Approved,Tue Jul 10 06:31:07 PDT 2018,Mon Jul 09 13:44:53 PDT 2018,Mon Jul 09 13:51:07 PDT 2018,Tue Jul 10 06:31:46 PDT 2018,,,,,[],"""twowithout""",undefined,6.12945
