workerid,trial_type,justification,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.justification,Answer.time_in_minutes
0,one_slider_practice,He bought the yellow and the silver cars,NA,NA,NA,NA,0.99,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider_practice,No the third dog said he wasn&quotechart going to jump on the table because he was too small,NA,NA,NA,NA,0,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,The two small frogs said the rock was too high to jump over. ,four,frog,6,with,1,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,They were both thirsty and both decided to drink the milk ,two,control1,7,with,1,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,Two decided to just stay at home. ,four,butterflies,8,without,1,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,One didn&quotechart roll the ball because he was afraid it would roll off the table. ,four,control2,9,with,1,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,One lion bought a cookie ,two,lions,10,without,0,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,only two lizards jumped up on the book. ,four,control3,11,with,0,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
0,one_slider,One dinosaur wanted a bug ,two,dinosaurs,12,with,0,english,2,Female,39,it was easy ,Yes,to see if people paid attention,4,Windows,1920,1080,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3PPTZCWALRG9ZI9WY79DV2J47LAQZW,0,Submitted,Wed Jan 31 03:24:14 PST 2018,Tue Jan 30 10:37:05 PST 2018,Tue Jan 30 10:44:14 PST 2018,,,,,,[],"""twowith""",undefined,7.053916666666667
1,one_slider_practice,He bought two cars.,NA,NA,NA,NA,0.93,English,1,Male,37,,Yes,Half right / half wrong statements,3,Windows,1080,1920,Chrome,3CIS7GGG65E0TWROSRA3VAJNY3REU2,3HCQYOKL1FXBI3TAIH6HSHESXKVNN6,Sentences of English,"In this task you will be watching a short video. At the end of the video, a puppet will make a statement and your goal is to say whether the puppett is right or wrong.",language research UCI fun cognitive science university explanations,$1.25,Tue Jan 30 10:37:03 PST 2018,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Thu Mar 01 10:37:03 PST 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3CIS7GGG65E0TWROSRA3VAJNY3REU2,3EFE17QCRD1ZLDOFKPSBQVU0TJESHX,1,Submitted,Wed Jan 31 03:25:02 PST 2018,Tue Jan 30 10:37:06 PST 2018,Tue Jan 30 10:45:02 PST 2018,,,,,,[],"""twowithout""",undefined,7.586016666666667
