workerid,trial_type,number,item,slide_number,context,response,language,enjoyment,gender,age,comments,assess,selfreport,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,one_slider_practice,NA,NA,NA,NA,1,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider_practice,NA,NA,NA,NA,0,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,four,frog,6,without,1,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,four,control1,7,without,1,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,four,butterflies,8,without,0.98,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,two,control2,9,with,1,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,four,lions,10,without,1,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,two,control3,11,without,0,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
0,one_slider,two,dinosaurs,12,with,0.55,english,2,Male,34,,Yes,idk,3,Windows,1080,1920,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3483FV8BEFFQJPN0URM12MS6YV162P,0,Approved,Sat Jul 07 02:00:04 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:20:04 PDT 2018,Sat Jul 07 02:00:46 PDT 2018,,,,,[],"""twowith""",2.44625
1,one_slider_practice,NA,NA,NA,NA,1,english,2,Male,38,"the wording was kind of confusing on 2 questions for instance ""2 butterflies went to the forest but 2 didnt go to the city"" thats very ambigious cause 2 didnt go to the city however one did. i answered the best i could",Yes,reading perception,1,Windows,768,1366,Chrome,3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,33SOUKKDKYWDGQ0PF0VSTCSNWXR1XN,Sentences of English,"In this task you will be reading short stories. At the end of each story, a puppet will make a statement and your goal is to say whether the puppet is right or wrong.",language research UCI fun cognitive science university,$0.75,Fri Jul 06 09:13:33 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sun Aug 05 09:13:33 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3M4KL7H8KVIG7K7BKLHL8KMDA1J61D,3OCHAWUVGPGYJKBMKK1V2VRKCZMKXJ,1,Approved,Sat Jul 07 02:01:20 PDT 2018,Fri Jul 06 09:13:47 PDT 2018,Fri Jul 06 09:21:20 PDT 2018,Sat Jul 07 02:01:46 PDT 2018,,,,,[],"""fourwith""",7.366433333333333
